id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,71,1577,834181,54,4.91,1.92,58,5.27,1.95,67,6.09,2.3,0.91,0.89,0.5,0.49,38.68,154.15
1,161,2602,1210383,95,7.92,4.66,78,6.5,2.5,134,11.17,7.63,0.95,0.93,0.4,0.36,22.35,140.57
2,664,28465,19275836,196,16.33,15.28,99,8.25,8.32,489,40.75,51.2,0.86,0.76,0.49,0.4,9.22,146.32
3,1867,86311,35257626,339,28.25,24.06,140,11.67,8.11,1186,98.83,96.43,0.78,0.82,0.5,0.32,10.49,139.84
4,1992,103498,82743494,392,21.78,22.33,410,22.78,49.85,1226,68.11,84.45,0.8,0.74,0.44,0.32,25.11,142.2
5,1607,99578,82621815,369,21.71,23.61,123,7.24,5.21,1164,68.47,90.06,0.96,0.96,0.46,0.3,24.66,136.62
6,1538,135238,108373757,390,22.94,23.6,129,7.59,5.34,1084,63.76,79.58,0.94,0.96,0.47,0.32,29.57,130.47
7,1903,171729,160683813,366,24.4,24.44,152,10.13,10.44,1238,82.53,95.96,0.77,0.73,0.37,0.27,32.52,123.74
8,1998,275126,265606797,372,26.57,26.09,116,8.29,4.56,1355,96.79,110.72,0.92,0.94,0.35,0.22,30.06,112.32
9,2213,269499,225706758,392,23.06,23.82,122,7.18,4.5,1508,88.71,109.64,0.8,0.79,0.42,0.28,30.84,127.05
10,1877,159145,124896928,369,20.5,23.21,148,8.22,6.77,1306,72.56,95.69,0.91,0.94,0.43,0.27,31.96,129.77
11,1718,133723,87348791,331,19.47,22.65,108,6.35,4.65,1152,67.76,89.86,0.83,0.82,0.46,0.36,11.8,138.92
12,1619,135205,112627103,336,18.67,21.05,111,6.17,3.26,1127,62.61,83.56,0.86,0.82,0.4,0.27,24.32,141.07
13,463,21045,10074065,179,12.79,12.31,88,6.29,2.76,355,25.36,29.3,0.9,0.9,0.45,0.37,19.37,129.39
14,205,3514,1224735,96,8.73,5.22,58,5.27,2.28,160,14.55,10.81,0.96,0.95,0.45,0.37,17.12,141.42
15,80,1886,1294850,54,4.91,2.02,52,4.73,2.15,70,6.36,4.03,0.93,0.95,0.36,0.29,10.62,144.09
16,81,1046,336356,52,4.33,2.57,45,3.75,1.86,74,6.17,5.34,0.91,0.91,0.52,0.47,17.68,139.54
17,28,274,54468,20,2.86,1.35,21,3.0,1.53,26,3.71,1.6,0.98,0.97,0.52,0.41,23.67,103.23
18,80,1456,1179482,59,4.92,1.44,62,5.17,1.53,72,6.0,2.22,0.98,0.98,0.43,0.38,22.8,133.66
19,69,584,93437,41,4.56,1.81,53,5.89,3.59,51,5.67,2.45,0.98,0.94,0.52,0.56,17.08,140.9
20,84,1511,958155,49,4.08,1.68,57,4.75,2.3,70,5.83,3.61,0.95,0.89,0.44,0.34,21.64,140.96
21,74,611,91417,59,4.92,1.56,62,5.17,1.9,68,5.67,1.83,0.96,0.94,0.51,0.48,20.64,178.77
22,75,759,93153,55,5.5,2.01,60,6.0,1.41,69,6.9,1.66,0.97,0.96,0.49,0.41,27.86,159.21
23,90,856,156266,68,5.67,3.03,69,5.75,3.36,80,6.67,3.6,0.98,0.99,0.4,0.36,19.54,163.26
24,98,760,134995,64,5.82,1.99,75,6.82,2.48,89,8.09,3.33,0.96,0.94,0.35,0.31,25.73,172.15
25,109,3815,2455386,73,6.64,4.13,61,5.55,2.38,96,8.73,4.92,0.95,0.94,0.5,0.5,20.33,151.52
26,572,17545,11323324,193,14.85,13.45,87,6.69,3.3,459,35.31,39.44,0.91,0.87,0.41,0.28,8.16,150.53
27,1361,35126,18184772,306,19.12,20.69,238,14.88,30.84,911,56.94,72.62,0.93,0.9,0.5,0.45,32.16,152.66
28,1200,282910,249638182,315,17.5,20.17,147,8.17,11.99,883,49.06,67.07,0.71,0.7,0.46,0.37,38.35,134.71
29,1030,79680,86479146,295,21.07,19.71,110,7.86,4.88,774,55.29,60.8,0.88,0.88,0.44,0.3,16.9,119.33
