id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
3970,3,5,200,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,1.0,1.0,0.75,0.75,0.02,251.0
3971,7,9,364,7,2.33,0.58,7,2.33,0.58,7,2.33,0.58,1.0,1.0,0.63,0.63,0.01,251.11
3972,12,19,848,12,2.4,1.14,12,2.4,1.14,12,2.4,1.14,0.93,0.93,0.46,0.43,0.12,192.78
3973,14,20,880,11,1.83,0.41,14,2.33,0.82,14,2.33,0.82,1.0,1.0,0.48,0.46,0.01,183.25
3974,8,15,712,8,1.6,0.55,8,1.6,0.55,8,1.6,0.55,0.9,0.86,0.47,0.44,0.01,178.2
3975,9,16,688,7,1.75,0.5,9,2.25,0.96,9,2.25,0.96,1.0,1.0,0.34,0.3,0.02,159.83
3976,7,9,360,7,2.33,1.15,7,2.33,1.15,7,2.33,1.15,1.0,1.0,0.76,0.76,0.0,251.11
3977,7,9,388,5,1.67,1.15,6,2.0,1.73,6,2.0,1.73,1.0,1.0,0.51,0.5,0.03,251.42
3978,14,19,779,12,3.0,1.63,14,3.5,1.91,14,3.5,1.91,0.84,0.84,0.58,0.58,0.0,223.57
3979,10,13,536,10,3.33,1.53,10,3.33,1.53,10,3.33,1.53,1.0,1.0,0.59,0.57,0.06,206.86
3980,20,25,1060,14,3.5,0.58,17,4.25,0.96,14,3.5,0.58,0.94,0.94,0.32,0.3,0.0,242.17
3981,17,20,864,9,4.5,0.71,12,6.0,0.0,10,5.0,0.0,1.0,1.0,0.19,0.18,0.02,238.9
3982,29,35,1500,14,2.8,0.84,19,3.8,1.3,16,3.2,1.1,1.0,1.0,0.21,0.19,0.01,233.87
3983,32,34,1460,17,2.83,1.17,22,3.67,0.82,18,3.0,1.26,1.0,1.0,0.28,0.26,0.0,251.78
3984,34,44,1887,19,3.8,0.84,23,4.6,1.14,22,4.4,1.14,0.82,0.82,0.3,0.27,0.01,222.7
3985,37,45,1744,16,2.67,0.82,18,3.0,0.63,30,5.0,2.53,0.5,0.54,0.44,0.42,4.73,248.49
