id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
7,11,12,436,3,1.5,0.71,3,1.5,0.71,11,5.5,2.12,0.12,0.14,0.62,0.62,0.0,248.25
22,25,31,1189,11,3.67,2.08,12,4.0,2.65,25,8.33,2.08,0.25,0.27,0.42,0.41,3.33,240.22
24,27,33,1488,16,4.0,0.0,20,5.0,0.0,25,6.25,1.26,0.54,0.53,0.24,0.19,2.48,242.02
27,13,15,560,6,3.0,1.41,6,3.0,1.41,12,6.0,1.41,0.35,0.37,0.4,0.38,3.74,247.72
28,15,17,636,8,2.67,0.58,8,2.67,0.58,13,4.33,0.58,0.3,0.33,0.29,0.28,4.0,245.0
29,17,20,880,5,1.67,0.58,6,2.0,1.0,16,5.33,1.15,0.16,0.18,0.35,0.32,6.62,207.9
30,22,26,964,7,2.33,1.53,7,2.33,1.53,21,7.0,0.0,0.16,0.18,0.53,0.51,7.81,229.41
31,18,26,1018,10,3.33,1.53,9,3.0,1.0,18,6.0,1.0,0.16,0.18,0.34,0.31,3.34,216.52
32,14,16,588,7,1.4,0.55,7,1.4,0.55,14,2.8,0.84,0.15,0.16,0.45,0.44,0.0,213.87
33,28,32,1252,15,3.0,1.58,15,3.0,1.58,28,5.6,1.14,0.34,0.37,0.36,0.33,4.42,233.18
34,24,34,1436,9,1.8,0.84,9,1.8,0.84,24,4.8,2.49,0.11,0.1,0.37,0.38,7.0,212.14
36,7,10,364,3,1.5,0.71,3,1.5,0.71,7,3.5,0.71,0.07,0.08,0.55,0.55,7.56,248.29
37,17,18,720,13,3.25,1.71,12,3.0,1.41,17,4.25,2.5,0.41,0.45,0.44,0.42,0.0,208.25
38,31,45,2616,10,2.5,1.29,8,2.0,0.82,30,7.5,5.45,0.11,0.11,0.58,0.55,2.85,215.35
39,40,57,3000,17,3.4,0.55,12,2.4,0.55,38,7.6,3.44,0.22,0.19,0.41,0.39,1.3,201.48
40,24,25,942,13,2.6,1.34,11,2.2,0.84,22,4.4,3.36,0.26,0.28,0.54,0.53,11.81,225.57
41,24,30,1124,9,3.0,1.73,8,2.67,1.15,24,8.0,3.61,0.2,0.24,0.41,0.39,1.71,230.58
42,20,25,1074,13,3.25,2.22,12,3.0,1.83,19,4.75,2.22,0.36,0.36,0.42,0.41,3.77,221.08
44,11,17,632,6,2.0,1.0,6,2.0,1.0,10,3.33,2.08,0.18,0.19,0.49,0.49,13.36,235.86
45,8,12,440,4,2.0,1.41,4,2.0,1.41,7,3.5,0.71,0.34,0.34,0.45,0.44,0.0,245.26
46,14,18,676,9,2.25,0.5,9,2.25,0.5,14,3.5,1.29,0.31,0.34,0.41,0.39,11.26,235.88
60,17,20,752,9,3.0,2.0,9,3.0,2.0,17,5.67,3.06,0.24,0.27,0.35,0.34,6.74,233.94
70,11,11,612,7,3.5,0.71,7,3.5,0.71,10,5.0,2.83,0.4,0.38,0.27,0.19,0.0,225.34
71,62,72,2711,27,5.4,3.05,27,5.4,3.21,59,11.8,7.09,0.27,0.3,0.52,0.51,4.49,222.48
72,62,72,2869,22,3.67,1.86,20,3.33,1.63,59,9.83,6.24,0.24,0.26,0.47,0.44,2.17,236.54
73,27,30,1245,17,4.25,0.96,17,4.25,0.96,26,6.5,2.38,0.42,0.45,0.32,0.29,3.72,209.52
74,31,38,1545,10,2.0,0.0,10,2.0,0.0,29,5.8,0.84,0.11,0.12,0.46,0.47,3.5,247.25
75,31,40,1500,12,2.4,0.55,11,2.2,0.45,31,6.2,2.17,0.16,0.2,0.39,0.38,5.7,228.19
76,56,67,2488,22,3.67,1.75,20,3.33,1.63,55,9.17,3.76,0.19,0.22,0.46,0.44,2.43,227.02
77,21,29,1136,10,2.5,1.29,10,2.5,1.29,20,5.0,1.41,0.24,0.24,0.36,0.33,3.01,215.01
78,22,24,904,12,3.0,1.15,12,3.0,1.15,22,5.5,3.11,0.38,0.4,0.4,0.38,0.0,247.83
79,10,11,424,9,2.25,0.5,9,2.25,0.5,10,2.5,1.0,0.48,0.51,0.48,0.44,0.0,225.25
81,23,27,1041,12,3.0,0.82,12,3.0,0.82,23,5.75,0.96,0.31,0.33,0.34,0.32,9.26,228.11
82,17,21,1214,11,3.67,1.53,11,3.67,1.53,17,5.67,3.51,0.38,0.37,0.33,0.25,3.34,200.65
83,39,46,2300,19,3.17,1.47,17,2.83,1.94,37,6.17,2.86,0.21,0.22,0.31,0.27,4.74,202.65
84,28,39,1456,14,3.5,1.91,14,3.5,1.91,27,6.75,4.35,0.27,0.28,0.32,0.32,7.33,233.14
85,16,18,772,10,3.33,0.58,11,3.67,0.58,16,5.33,1.15,0.39,0.39,0.33,0.29,5.0,221.33
86,35,42,1584,17,3.4,1.52,17,3.4,1.52,33,6.6,3.36,0.29,0.33,0.39,0.37,8.45,211.48
87,63,82,3758,27,5.4,1.14,25,5.0,1.41,59,11.8,6.76,0.33,0.34,0.35,0.33,2.55,203.66
88,35,38,1437,18,4.5,0.58,18,4.5,0.58,34,8.5,2.89,0.36,0.4,0.36,0.34,1.68,214.65
89,43,56,2080,19,3.8,2.17,19,3.8,2.17,43,8.6,5.73,0.26,0.29,0.36,0.35,3.07,219.92
90,49,65,2848,21,3.5,1.22,23,3.83,1.6,45,7.5,3.39,0.3,0.32,0.36,0.35,4.75,229.47
91,56,63,2428,20,4.0,2.0,22,4.4,2.51,54,10.8,8.01,0.31,0.35,0.35,0.33,1.39,243.31
92,23,26,1016,16,3.2,1.3,17,3.4,1.34,22,4.4,1.82,0.46,0.5,0.27,0.24,3.99,221.45
93,25,31,1256,16,4.0,0.82,18,4.5,1.73,23,5.75,0.96,0.53,0.58,0.31,0.28,3.04,230.64
94,32,42,1596,14,3.5,0.58,15,3.75,0.96,30,7.5,4.8,0.36,0.39,0.32,0.31,6.73,200.85
95,41,44,1664,15,3.0,1.41,16,3.2,1.64,39,7.8,3.11,0.33,0.36,0.3,0.29,0.92,221.95
96,54,58,2463,24,4.0,1.1,27,4.5,1.38,49,8.17,4.45,0.49,0.48,0.27,0.24,0.0,235.95
97,11,13,508,7,3.5,0.71,8,4.0,0.0,11,5.5,0.71,0.46,0.5,0.23,0.2,0.0,229.17
98,24,29,1180,14,2.8,2.05,16,3.2,2.59,23,4.6,2.19,0.28,0.28,0.42,0.41,12.0,231.98
99,50,66,2496,21,4.2,1.1,21,4.2,1.3,48,9.6,1.82,0.23,0.26,0.28,0.27,6.84,228.09
100,57,65,2697,21,4.2,0.84,22,4.4,0.89,52,10.4,2.97,0.36,0.37,0.26,0.26,2.0,229.57
101,24,28,1336,16,5.33,0.58,15,5.0,0.0,23,7.67,1.53,0.47,0.45,0.3,0.31,4.01,198.84
102,41,53,2018,19,3.8,1.64,19,3.8,1.64,41,8.2,2.49,0.28,0.31,0.42,0.4,2.6,243.61
103,27,41,1857,14,2.8,1.1,14,2.8,1.1,27,5.4,3.36,0.23,0.21,0.43,0.45,3.26,194.53
104,52,70,2736,19,3.8,1.79,20,4.0,1.87,46,9.2,3.42,0.32,0.35,0.32,0.31,4.03,229.94
105,20,23,908,13,3.25,0.96,14,3.5,0.58,18,4.5,0.58,0.54,0.57,0.26,0.24,0.0,247.2
106,21,32,1408,12,3.0,1.41,12,3.0,1.41,20,5.0,0.82,0.31,0.34,0.43,0.37,9.74,210.46
107,34,41,1602,14,2.8,1.3,16,3.2,1.79,30,6.0,3.74,0.34,0.37,0.42,0.41,8.5,241.95
108,29,40,1574,18,3.6,2.07,18,3.6,2.07,29,5.8,1.1,0.34,0.38,0.28,0.26,4.25,215.73
109,26,28,1092,13,3.25,0.96,14,3.5,1.29,23,5.75,3.3,0.48,0.52,0.34,0.3,0.0,248.47
110,36,49,1857,15,3.0,1.58,18,3.6,2.3,32,6.4,1.14,0.32,0.34,0.29,0.29,7.2,245.96
111,50,63,2453,23,4.6,1.52,24,4.8,1.79,45,9.0,2.45,0.34,0.35,0.32,0.32,3.36,233.43
112,31,41,1576,18,3.6,0.89,19,3.8,1.3,27,5.4,3.21,0.43,0.47,0.34,0.32,7.52,227.63
