id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,2023,15339,9886007,73,18.25,22.78,50,12.5,10.28,412,103.0,190.72,0.76,0.76,0.26,0.22,2.45,161.67
1,2190,36434,24358770,71,35.5,44.55,37,18.5,9.19,436,218.0,294.16,0.97,1.0,0.52,0.46,5.08,113.26
2,2030,7058,1732143,67,33.5,38.89,32,16.0,5.66,389,194.5,259.51,0.82,0.92,0.48,0.62,5.32,120.18
3,2000,13296,6944513,70,35.0,39.6,31,15.5,9.19,374,187.0,251.73,0.92,0.98,0.5,0.44,15.14,133.9
4,2104,6797,1683337,57,28.5,28.99,48,24.0,7.07,353,176.5,225.57,0.82,0.92,0.52,0.57,17.92,122.57
5,1987,5857,978065,52,26.0,28.28,37,18.5,9.19,352,176.0,237.59,0.79,0.86,0.56,0.58,2.84,119.26
6,2120,24100,8046826,58,29.0,28.28,44,22.0,11.31,371,185.5,243.95,0.94,0.98,0.55,0.48,2.62,125.65
7,2091,66080,60825268,58,29.0,25.46,56,28.0,5.66,356,178.0,226.27,0.9,0.98,0.46,0.48,6.32,127.88
8,2420,40082,21712306,89,44.5,45.96,41,20.5,3.54,473,236.5,310.42,0.84,0.96,0.52,0.48,9.8,134.59
9,2246,12168,4128881,82,27.33,37.0,48,16.0,12.77,483,161.0,264.16,0.73,0.74,0.53,0.54,5.36,163.81
10,2428,52158,24573918,94,23.5,37.0,44,11.0,8.83,534,133.5,253.67,0.94,0.98,0.38,0.42,2.22,180.63
11,2408,35883,23042449,78,39.0,45.25,37,18.5,9.19,486,243.0,329.51,0.96,1.0,0.44,0.44,4.01,114.98
12,2346,28803,17121157,93,31.0,40.78,47,15.67,10.07,545,181.67,297.38,0.93,0.95,0.33,0.31,2.72,148.38
13,2571,80454,59832955,107,35.67,47.12,56,18.67,13.58,631,210.33,345.29,0.97,0.98,0.39,0.29,19.3,127.69
14,2584,112274,52060734,116,29.0,46.68,50,12.5,9.47,603,150.75,289.5,0.97,0.99,0.47,0.64,15.34,150.53
15,2103,42534,34123034,85,28.33,43.02,41,13.67,13.61,493,164.33,275.98,0.98,1.0,0.44,0.32,36.94,130.15
16,2269,80835,45389959,106,35.33,50.82,47,15.67,13.61,628,209.33,348.73,0.88,0.84,0.44,0.38,5.52,128.88
17,2619,85581,56966360,107,35.67,53.13,46,15.33,9.02,689,229.67,377.9,0.99,1.0,0.47,0.3,27.31,100.22
18,2465,118242,75818687,97,32.33,49.08,35,11.67,11.93,694,231.33,392.03,0.73,0.7,0.36,0.34,5.17,110.73
19,2452,334399,262231403,96,48.0,57.98,36,18.0,14.14,694,347.0,480.83,0.98,1.0,0.47,0.44,5.13,125.92
20,2406,75313,52161553,122,40.67,62.66,38,12.67,10.69,782,260.67,441.96,0.99,1.0,0.52,0.53,50.83,114.98
21,2218,92994,54448601,99,33.0,49.39,38,12.67,10.97,628,209.33,351.33,0.95,0.9,0.48,0.35,29.71,153.0
22,2247,49607,33467775,101,50.5,68.59,24,12.0,11.31,612,306.0,427.09,0.98,1.0,0.38,0.38,8.51,104.66
23,2164,69579,36966489,133,44.33,69.01,41,13.67,12.42,725,241.67,408.19,0.6,0.65,0.62,0.58,23.28,134.41
24,1736,184460,172305360,101,33.67,53.13,37,12.33,14.47,548,182.67,310.33,0.96,0.97,0.43,0.36,42.21,118.9
