id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,686,6776,2282280,117,58.5,72.83,18,9.0,7.07,298,149.0,200.82,0.06,0.04,0.48,0.42,13.41,118.3
1,650,6177,2044810,124,62.0,74.95,24,12.0,12.73,297,148.5,194.45,0.01,0.0,0.55,0.52,53.4,107.22
2,697,6744,2159538,114,57.0,69.3,41,20.5,19.09,297,148.5,198.7,0.03,0.02,0.49,0.46,1.19,119.92
3,556,5283,1721229,105,52.5,68.59,20,10.0,9.9,270,135.0,185.26,0.03,0.02,0.58,0.55,1.34,97.3
4,785,7410,2407722,114,57.0,72.12,29,14.5,12.02,305,152.5,202.94,0.12,0.08,0.5,0.46,1.82,104.5
5,734,7191,2364615,118,59.0,74.95,22,11.0,9.9,312,156.0,205.06,0.06,0.03,0.5,0.46,24.36,103.85
6,762,7128,2354124,116,58.0,70.71,23,11.5,3.54,299,149.5,194.45,0.39,0.32,0.53,0.51,1.56,110.83
7,727,7247,2389372,116,58.0,72.12,25,12.5,9.19,295,147.5,194.45,0.14,0.08,0.57,0.58,10.75,103.66
8,783,7716,2523636,128,64.0,70.71,37,18.5,12.02,310,155.0,196.58,0.03,0.02,0.49,0.45,11.96,91.98
9,739,7233,2316393,121,60.5,75.66,22,11.0,5.66,307,153.5,204.35,0.02,0.01,0.42,0.38,11.24,72.44
10,734,7012,2328976,114,57.0,66.47,29,14.5,7.78,309,154.5,200.11,0.19,0.14,0.48,0.46,2.19,113.55
11,857,8183,2679215,121,60.5,74.25,30,15.0,14.14,313,156.5,210.01,0.09,0.06,0.6,0.62,16.94,99.78
12,674,6643,2065288,118,59.0,72.12,24,12.0,9.9,293,146.5,193.04,0.02,0.0,0.58,0.56,9.2,111.4
13,776,7391,2498621,122,61.0,73.54,37,18.5,19.09,299,149.5,198.7,0.06,0.04,0.48,0.44,3.06,116.21
14,645,6085,1933984,108,54.0,60.81,20,10.0,7.07,284,142.0,173.95,0.01,0.0,0.52,0.48,19.3,103.28
15,618,6071,1958514,112,56.0,69.3,27,13.5,12.02,284,142.0,188.09,0.04,0.02,0.7,0.68,5.98,98.02
16,659,6448,2174568,114,57.0,67.88,27,13.5,9.19,294,147.0,193.75,0.18,0.12,0.62,0.6,4.78,108.02
17,658,6207,1991979,117,58.5,74.25,18,9.0,7.07,288,144.0,195.16,0.05,0.02,0.46,0.41,29.12,65.1
18,650,6300,2150689,106,53.0,72.12,18,9.0,11.31,282,141.0,196.58,0.0,0.0,0.52,0.48,1.08,111.85
19,561,5041,1639127,108,54.0,62.23,22,11.0,7.07,275,137.5,177.48,0.05,0.02,0.55,0.52,29.8,111.83
20,618,5759,1906665,113,56.5,68.59,23,11.5,12.02,276,138.0,178.19,0.02,0.02,0.5,0.48,20.84,113.66
21,506,4823,1584309,104,52.0,65.05,18,9.0,5.66,257,128.5,171.83,0.31,0.22,0.52,0.45,1.0,88.98
22,554,5278,1738983,113,56.5,64.35,24,12.0,7.07,279,139.5,177.48,0.12,0.08,0.48,0.44,1.95,93.56
23,477,4562,1440217,111,55.5,62.93,23,11.5,4.95,270,135.0,172.53,0.03,0.02,0.49,0.46,3.4,98.37
