id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
11566,6,6,308,5,2.5,0.71,6,3.0,0.0,6,3.0,0.0,0.67,0.55,0.33,0.45,0.0,164.33
11862,8,11,2076,6,3.0,0.0,8,4.0,1.41,8,4.0,1.41,0.44,0.32,0.36,0.22,0.0,181.54
14784,7,7,368,6,3.0,1.41,7,3.5,0.71,6,3.0,1.41,0.71,0.56,0.29,0.44,0.0,249.58
15884,7,7,372,7,3.5,0.71,7,3.5,0.71,7,3.5,0.71,0.71,0.62,0.29,0.38,0.0,166.5
20310,6,6,308,6,3.0,0.0,6,3.0,0.0,6,3.0,0.0,0.67,0.55,0.33,0.45,0.0,114.0
22289,3,3,180,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.25,0.18,0.75,0.82,0.0,100.75
22393,6,10,696,5,2.5,0.71,4,2.0,0.0,5,2.5,0.71,0.2,0.13,0.4,0.44,0.0,88.0
22394,4,6,1000,4,2.0,0.0,4,2.0,0.0,4,2.0,0.0,0.16,0.1,0.33,0.24,0.0,152.75
22395,3,5,348,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.16,0.11,0.42,0.44,0.0,72.75
22399,4,49,20151,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.66,0.61,0.4,0.24,0.22,103.75
22400,6,9,600,6,3.0,1.41,5,2.5,0.71,6,3.0,1.41,0.33,0.25,0.33,0.38,0.0,79.0
22403,5,8,536,5,2.5,0.71,5,2.5,0.71,5,2.5,0.71,0.38,0.26,0.5,0.58,0.64,146.67
22406,5,6,748,4,2.0,0.0,5,2.5,0.71,5,2.5,0.71,0.34,0.28,0.33,0.29,0.0,54.25
22413,3,5,264,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.16,0.11,0.42,0.44,0.0,49.0
22415,3,4,152,3,1.5,0.71,3,1.5,0.71,3,1.5,0.71,0.25,0.28,0.75,0.72,3.08,74.25
22422,5,7,456,5,1.67,0.58,5,1.67,0.58,5,1.67,0.58,0.28,0.2,0.44,0.51,0.0,101.67
22425,7,9,536,6,2.0,1.0,6,2.0,1.0,6,2.0,1.0,0.37,0.27,0.4,0.47,0.0,138.75
22426,2,4,304,2,1.0,0.0,2,1.0,0.0,2,1.0,0.0,0.0,0.0,0.5,0.5,0.0,59.0
22434,2,3,108,2,1.0,0.0,2,1.0,0.0,2,1.0,0.0,0.0,0.0,0.75,0.75,0.0,57.5
22437,4,5,270,4,2.0,1.41,4,2.0,1.41,4,2.0,1.41,0.34,0.36,0.42,0.4,0.0,122.84
22444,12,16,891,12,2.4,1.34,12,2.4,1.34,12,2.4,1.34,0.75,0.68,0.42,0.44,0.0,115.53
22446,7,11,700,6,3.0,1.41,5,2.5,2.12,7,3.5,0.71,0.38,0.39,0.62,0.61,0.86,202.62
22454,6,78,27918,6,3.0,0.0,5,2.5,0.71,6,3.0,0.0,0.75,0.67,0.43,0.24,1.32,120.33
22455,36,57,4117,20,2.86,0.9,18,2.57,0.79,34,4.86,2.85,0.39,0.33,0.37,0.42,0.9,121.23
22456,61,103,8016,15,2.14,1.21,15,2.14,1.21,56,8.0,5.74,0.09,0.07,0.44,0.43,4.91,98.48
22457,106,176,10594,25,3.12,1.46,20,2.5,1.2,101,12.62,4.24,0.09,0.08,0.33,0.35,8.25,160.6
