id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,103,178,18825,53,26.5,28.99,31,15.5,14.85,77,38.5,40.31,0.32,0.26,0.44,0.34,0.26,125.85
1,96,294,18138,38,19.0,21.21,33,16.5,19.09,61,30.5,36.06,0.21,0.16,0.47,0.44,5.44,143.66
2,199,345,54670,76,38.0,48.08,39,19.5,21.92,115,57.5,70.0,0.15,0.12,0.41,0.3,4.23,120.84
3,187,408,44808,68,34.0,41.01,34,17.0,15.56,122,61.0,72.12,0.29,0.29,0.56,0.36,5.78,116.71
4,368,646,91780,96,48.0,62.23,47,23.5,27.58,179,89.5,119.5,0.32,0.32,0.37,0.21,0.82,142.77
5,602,852,150208,131,65.5,86.97,47,23.5,27.58,255,127.5,173.24,0.29,0.29,0.44,0.26,0.5,141.68
6,603,795,155685,122,61.0,73.54,43,21.5,16.26,236,118.0,141.42,0.18,0.16,0.37,0.2,3.36,121.32
7,324,484,77828,83,41.5,53.03,24,12.0,12.73,146,73.0,86.27,0.06,0.06,0.46,0.3,7.98,144.1
8,138,243,21722,61,30.5,34.65,50,25.0,26.87,93,46.5,55.86,0.34,0.2,0.38,0.26,1.17,160.94
10,190,386,31470,67,33.5,44.55,58,29.0,38.18,127,63.5,82.73,0.06,0.04,0.6,0.56,2.22,116.44
11,214,324,41305,62,31.0,35.36,46,23.0,24.04,148,74.0,87.68,0.22,0.18,0.33,0.23,2.32,165.29
12,202,349,47818,62,31.0,38.18,41,20.5,23.33,134,67.0,87.68,0.29,0.28,0.37,0.27,0.92,121.8
14,350,499,73929,69,34.5,44.55,33,16.5,19.09,223,111.5,149.2,0.18,0.17,0.4,0.27,0.12,148.87
15,281,415,53728,60,30.0,36.77,32,16.0,18.38,190,95.0,127.28,0.15,0.13,0.45,0.34,3.95,124.96
16,317,531,58713,67,33.5,43.13,43,21.5,26.16,215,107.5,142.13,0.17,0.16,0.5,0.38,1.0,123.32
17,327,620,63844,68,34.0,41.01,40,20.0,21.21,205,102.5,120.92,0.13,0.13,0.4,0.3,4.74,125.79
18,491,742,104131,80,40.0,55.15,33,16.5,21.92,291,145.5,198.7,0.01,0.0,0.45,0.32,0.54,126.28
19,349,608,68109,63,31.5,41.72,37,18.5,23.33,192,96.0,124.45,0.08,0.08,0.44,0.34,1.08,137.75
20,460,636,86694,77,38.5,47.38,38,19.0,21.21,270,135.0,176.78,0.1,0.1,0.48,0.36,0.14,110.38
21,375,623,74599,73,36.5,44.55,32,16.0,16.97,233,116.5,147.79,0.07,0.06,0.47,0.36,5.96,113.84
22,304,578,62969,70,35.0,43.84,27,13.5,16.26,194,97.0,120.21,0.04,0.03,0.5,0.4,5.62,127.62
23,407,642,78412,89,44.5,57.28,32,16.0,19.8,246,123.0,155.56,0.04,0.03,0.49,0.37,13.43,126.52
24,310,499,66774,76,38.0,50.91,27,13.5,17.68,190,95.0,130.11,0.01,0.0,0.56,0.47,10.43,100.98
