id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
4,10,95,28897,9,4.5,0.71,9,4.5,0.71,10,5.0,0.0,0.9,0.91,0.34,0.33,35.08,166.4
13,122,4041,2651194,34,17.0,16.97,16,8.0,4.24,103,51.5,65.76,0.8,0.79,0.26,0.16,16.95,163.7
16,169,22189,23611330,44,22.0,18.38,16,8.0,0.0,120,60.0,72.12,0.82,0.74,0.31,0.26,12.7,139.24
24,171,20617,3144277,41,20.5,24.75,22,11.0,11.31,136,68.0,91.92,0.7,0.48,0.69,0.54,18.79,112.89
27,141,5482,3839212,28,14.0,15.56,16,8.0,7.07,100,50.0,65.05,0.5,0.52,0.42,0.29,25.98,69.28
28,244,8312,5003793,47,23.5,27.58,21,10.5,10.61,152,76.0,101.82,0.62,0.56,0.48,0.34,19.94,112.72
29,221,25087,22875982,38,19.0,24.04,18,9.0,9.9,127,63.5,86.97,0.49,0.39,0.53,0.44,18.89,122.9
45,242,7651,4504849,55,27.5,34.65,24,12.0,12.73,178,89.0,121.62,0.82,0.86,0.4,0.24,19.42,108.38
57,152,40009,45830233,39,19.5,24.75,16,8.0,8.49,110,55.0,74.95,0.22,0.13,0.2,0.2,36.56,74.52
60,230,18273,15815003,51,25.5,30.41,15,7.5,4.95,177,88.5,119.5,0.68,0.68,0.25,0.11,20.3,118.47
64,89,37195,40969571,26,13.0,14.14,12,6.0,5.66,67,33.5,38.89,0.18,0.11,0.11,0.06,23.6,81.56
67,27,286,123408,11,5.5,3.54,7,3.5,0.71,22,11.0,11.31,0.84,0.86,0.36,0.26,11.71,148.1
83,31,483,188068,18,9.0,7.07,9,4.5,0.71,23,11.5,10.61,0.69,0.77,0.34,0.18,11.32,127.62
130,9,36,10042,6,3.0,2.83,5,2.5,2.12,8,4.0,4.24,0.5,0.5,0.48,0.33,2.68,103.12
136,13,63,7095,11,5.5,0.71,8,4.0,0.0,12,6.0,0.0,0.56,0.56,0.72,0.75,0.98,162.99
156,12,118,82385,10,5.0,2.83,6,3.0,0.0,11,5.5,3.54,0.72,0.76,0.29,0.16,1.34,157.56
179,183,4926,2140994,39,19.5,23.33,11,5.5,3.54,115,57.5,77.07,0.7,0.73,0.38,0.29,17.56,73.66
